,feature,weight,std
0,ATF1,0.07044159138488096,0.012941751094984076
1,XBP1,0.06937852695614037,0.016293128630498803
2,RBPJ,0.04935429406371674,0.01162537599041501
3,STAT1,0.031913922152634534,0.013431443960232683
4,AHR,0.022365600732802648,0.002972254124928061
5,GCFC2,0.018031362780409642,0.0060309111129647685
6,POU2F1,0.01368601138902883,0.006437154451604196
7,CREB1,0.01172048240370418,0.004737730783018208
8,FOS,0.00885676918584335,0.002932270869231016
9,BCL3,0.008337028501008592,0.0036714333153453488
10,SPI1,0.008203431876576572,0.004275274520280229
11,IRF2,0.0077835636865306364,0.004612888272817597
12,ESR1,0.005521498022464067,0.003853289971534502
13,SRF,0.005183833944314653,0.0011944919162011276
14,IRF1,0.0050438846050523175,0.002744972895023486
15,EED,0.004777177200797067,0.0005709023224203985
16,BHLHE40,0.0044519852858030395,0.004198779892007138
17,RCOR1,0.004312552888006671,0.0011092992605494715
18,JUNB,0.003273354427001096,0.001089811610686676
19,NR3C1,0.003248278493633361,0.0010177062383327684
20,RARA,0.003177472979277818,0.0021404005360257717
21,NR2C1,0.0031190051594063963,0.0005503826663412893
22,VDR,0.0030405864831666075,0.0004012010014097061
23,HNRNPLL,0.002921978695354799,0.0025571347820840195
24,BATF,0.0029173904163160456,0.0027578128160714605
25,RUNX3,0.002768460357045566,0.00272756825915512
26,MTA1,0.0027538387165465528,0.0009002866439432162
27,EP300,0.002734313207844874,0.0009567714965529648
28,ETS2,0.0027192807978564824,0.0010285970424896704
29,ELK1,0.002570950857142762,0.0007231790318853381
30,RELA,0.0024244298162976463,0.0006991456764037717
31,LEF1,0.002322175148470396,0.0009067989890169597
32,ZNF687,0.002234120845407328,0.0007947482459891023
33,TCF4,0.0022159711343744393,0.0027113071893728195
34,MAX,0.0022129230104008133,0.0005696301785226964
35,GATA2,0.0022086043156373638,0.0016678729343103922
36,NFATC2,0.0021925906148896777,0.0013011516194818237
37,TAF1,0.002035457802356344,0.0011515561342417765
38,RXRA,0.0018123782189793714,0.0008481829049504814
39,HNF1A,0.001778007619073807,0.0013265321116663028
40,EGR3,0.0016775975982377344,0.0016992782669960338
41,POU2F2,0.001654345041642924,0.0008864151189037083
42,PAX5,0.0015820677622138345,0.0010044300772691437
43,ETV6,0.0015697357471869955,0.0030289409794898837
44,ETFB,0.0015134737837054102,0.0021196702904752686
45,ZNF217,0.0015083499954637203,0.0014049010328083433
46,ATF2,0.0014901035196999146,0.001145600965408823
47,NBN,0.0014442117206356464,0.0012711297589884033
48,NFKB1,0.0014400229834861556,0.0013165294283858863
49,ELF1,0.0014378673001167463,0.0010820923352129832
50,TCF12,0.0014170266397126152,0.0037001893084630255
51,TBX21,0.0013087509223327354,0.001469833540238126
52,E2F1,0.0012788719376748414,0.0012181824484276784
53,GATA3,0.001247298593471302,0.001089115569084092
54,SMAD1,0.0011664651240500313,0.0010671211135575855
55,CTBP2,0.001063421301880374,0.0012267657123044516
56,STAT4,0.0010331635837791619,0.002206921857456227
57,SP1,0.0009985949492879787,0.0006950561377471161
58,MYB,0.0009174691920365241,0.0007266819470526668
59,AR,0.0008817051920428254,0.0009331306383869489
60,MTA2,0.0008089423685078368,0.0007814833811912015
61,SIN3A,0.0007862331779328491,0.0010491446904627511
62,RARB,0.0006599782802325649,0.0009486971029289569
63,FOXK2,0.0006042174370342268,0.0006365780048978902
64,RAD21,0.00059906208828997,0.0007085145800146282
65,ARNT,0.0005914456579585448,0.0011336691724276886
66,YY1,0.0004797114669820912,0.0011822806104433562
67,ZNF207,0.0004710253587871138,0.0010272300220576524
68,MEF2A,0.0004081025381792669,0.0005347197390141017
69,PBX3,0.0003892756065067227,0.0017453780933229866
70,TBP,0.00038377053974893995,0.0013944218655579834
71,EBF1,0.00033645325472997367,0.0009862373519447284
72,ZEB1,0.0002851297680546594,0.0017659401073451227
73,ETFA,0.0002732238855504887,0.0013257251671197742
74,RELB,0.00019153286571045315,0.0011758752148670509
75,MXI1,0.0001833150413638851,0.0008677838205717438
76,WT1,0.0001578967113319063,0.0002617607969397673
77,STAT5A,0.00012014504449566754,0.0017378854840398685
78,BCL11A,5.0419297594839206e-05,0.002443243751719758
79,USF2,3.7685720844171655e-05,0.0011698518272068778
80,MYC,3.730147213358848e-05,0.0007425706733093057
81,SRY,8.881784197001253e-17,2.1528023174860817e-16
82,HOXD10,-1.7763568394002506e-16,8.881784197001253e-17
83,NR2F1,-0.00014773426701981674,0.00033978107588819665
84,HNF4A,-0.00017027085138199283,0.00012446812802225483
85,FOXA1,-0.00017714266529327282,0.0031149858278365383
86,PGR,-0.0002055914407762982,0.0008598036161958083
87,ETS1,-0.0002141619735421596,0.0015166254073549707
88,STAT3,-0.00024046316224908272,0.0013650748257158648
89,FOXP3,-0.0002544850720263891,0.0002684236814404483
90,KLF5,-0.00028721315688930995,0.0003816946649104883
91,HOXD9,-0.0003048586329968073,0.0004319061109192467
92,TAF13,-0.00030728029163773485,0.001155900940570324
93,CEBPA,-0.000361347828578773,0.0003424420345495151
94,BACH1,-0.0003981260634448036,0.0006098544382982814
95,PENK,-0.0005441119872823697,0.00015732356786331538
96,IKZF1,-0.0005491088244995446,0.0007948653149089347
97,TP53,-0.0005751188689979258,0.001140771279449533
98,ETV4,-0.000583920034326968,0.0013325792819741632
99,THRB,-0.0006338152855512869,0.0007951497994395158
100,ATF3,-0.0006643272488925378,0.0009091097221480266
101,NFATC1,-0.0008796182238026473,0.0031693161829758503
102,CEBPB,-0.0009307410551499418,0.0013353173487779524
103,GATA1,-0.0013643028480585962,0.000614238041533727
104,EZH2,-0.0016935069521702094,0.0011625392514755081
105,MAZ,-0.002035853833375878,0.0012280301549562034
106,NFIC,-0.0026073095344857577,0.001104844636698254
107,NFYB,-0.0026314248166030563,0.0024875190391163635
108,JUND,-0.0029863096765903483,0.0019361103388201174
