,feature,weight,std
0,ATF1,0.07044159138488068,0.012941751094984024
1,XBP1,0.06937852695613973,0.016293128630498685
2,RBPJ,0.04935429406371643,0.011625375990414879
3,STAT1,0.03191392215263429,0.013431443960232726
4,AHR,0.022365600732802294,0.002972254124928104
5,GCFC2,0.018031362780409267,0.0060309111129648795
6,POU2F1,0.013686011389028275,0.006437154451604138
7,CREB1,0.011720482403703958,0.004737730783018202
8,FOS,0.008856769185842949,0.002932270869230973
9,BCL3,0.008337028501008014,0.003671433315345386
10,SPI1,0.008203431876576284,0.004275274520280281
11,IRF2,0.007783563686530525,0.004612888272817605
12,ESR1,0.005521498022463689,0.003853289971534656
13,SRF,0.0051838339443144085,0.0011944919162010452
14,IRF1,0.0050438846050520954,0.0027449728950234504
15,EED,0.004777177200796778,0.0005709023224205688
16,BHLHE40,0.004451985285802773,0.004198779892007306
17,RCOR1,0.004312552888006471,0.0011092992605494147
18,JUNB,0.003273354427000852,0.00108981161068664
19,NR3C1,0.003248278493633161,0.0010177062383327432
20,RARA,0.00317747297927744,0.002140400536025854
21,NR2C1,0.0031190051594061075,0.000550382666341217
22,VDR,0.0030405864831662523,0.00040120100140981314
23,HNRNPLL,0.0029219786953544437,0.0025571347820839674
24,BATF,0.0029173904163155794,0.002757812816071364
25,RUNX3,0.002768460357045144,0.0027275682591551063
26,MTA1,0.002753838716546153,0.0009002866439429743
27,EP300,0.00273431320784423,0.0009567714965531607
28,ETS2,0.002719280797855905,0.001028597042489634
29,ELK1,0.002570950857142584,0.0007231790318851425
30,RELA,0.00242442981629738,0.0006991456764038895
31,LEF1,0.002322175148469863,0.00090679898901712
32,ZNF687,0.002234120845407017,0.0007947482459890368
33,TCF4,0.002215971134374106,0.0027113071893727888
34,MAX,0.002212923010400414,0.0005696301785228806
35,GATA2,0.002208604315637075,0.001667872934310184
36,NFATC2,0.0021925906148889673,0.0013011516194817998
37,TAF1,0.0020354578023559,0.0011515561342419459
38,RXRA,0.0018123782189790384,0.0008481829049506122
39,HNF1A,0.0017780076190732075,0.0013265321116661477
40,EGR3,0.001677597598237246,0.0016992782669959902
41,POU2F2,0.0016543450416429462,0.0008864151189039744
42,PAX5,0.0015820677622133904,0.0010044300772691034
43,ETV6,0.001569735747186929,0.0030289409794901673
44,ETFB,0.0015134737837051216,0.0021196702904751397
45,ZNF217,0.0015083499954634094,0.001404901032808258
46,ATF2,0.0014901035196995594,0.0011456009654089673
47,NBN,0.0014442117206353356,0.0012711297589883088
48,NFKB1,0.001440022983486089,0.0013165294283861918
49,ELF1,0.0014378673001165022,0.0010820923352131452
50,TCF12,0.001417026639712149,0.0037001893084631617
51,TBX21,0.0013087509223324244,0.0014698335402381876
52,E2F1,0.0012788719376743529,0.0012181824484278716
53,GATA3,0.0012472985934710134,0.0010891155690837659
54,SMAD1,0.0011664651240500313,0.0010671211135575328
55,CTBP2,0.0010634213018798854,0.001226765712304349
56,STAT4,0.0010331635837789843,0.0022069218574561986
57,SP1,0.0009985949492874902,0.0006950561377472756
58,MYB,0.0009174691920362576,0.0007266819470527003
59,AR,0.0008817051920428475,0.0009331306383870169
60,MTA2,0.0008089423685074592,0.000781483381191411
61,SIN3A,0.0007862331779323161,0.0010491446904628088
62,RARB,0.0006599782802323651,0.00094869710292891
63,FOXK2,0.0006042174370341158,0.0006365780048978946
64,RAD21,0.0005990620882897035,0.0007085145800146894
65,ARNT,0.0005914456579583893,0.0011336691724278649
66,YY1,0.00047971146698173596,0.001182280610443264
67,ZNF207,0.0004710253587868696,0.0010272300220575152
68,MEF2A,0.000408102538178956,0.0005347197390141138
69,PBX3,0.000389275606506323,0.0017453780933231703
70,TBP,0.0003837705397484514,0.0013944218655580713
71,EBF1,0.0003364532547299959,0.0009862373519444806
72,ZEB1,0.00028512976805430414,0.0017659401073452097
73,ETFA,0.00027322388555013345,0.0013257251671197773
74,RELB,0.00019153286571016448,0.0011758752148671877
75,MXI1,0.00018331504136386289,0.0008677838205717034
76,WT1,0.00015789671133152882,0.00026176079693972834
77,STAT5A,0.00012014504449529007,0.0017378854840398913
78,BCL11A,5.041929759457276e-05,0.002443243751719806
79,USF2,3.7685720843927405e-05,0.001169851827206958
80,MYC,3.7301472133433045e-05,0.0007425706733092215
81,SRY,-3.3306690738754696e-16,1.2161883888976234e-16
82,HOXD10,-3.9968028886505636e-16,1.9357399876532503e-16
83,NR2F1,-0.000147734267020172,0.0003397810758884754
84,HNF4A,-0.0001702708513823259,0.00012446812802220227
85,FOXA1,-0.00017714266529349486,0.003114985827836529
86,PGR,-0.00020559144077654247,0.0008598036161957313
87,ETS1,-0.00021416197354247047,0.0015166254073548365
