,feature,weight,std
0,XBP1,0.0861423479005817,0.013714082765929824
1,RBPJ,0.04280842217307699,0.010441512969515274
2,STAT1,0.03799284404481142,0.016645263329617195
3,ATF1,0.027033144881023263,0.011047556367540427
4,POU2F1,0.026118998268483583,0.008545132834934214
5,ETS2,0.022820328872326056,0.008671332272099593
6,CREB1,0.01903563300357438,0.01581677842465612
7,FOS,0.018234238363501333,0.010838395530476245
8,BCL3,0.016112486576722353,0.00880105645782527
9,AHR,0.013680760015972826,0.0031858855436129765
10,SPI1,0.01266315007787575,0.007754045296114092
11,MAZ,0.010082628943144734,0.002458768508744397
12,FOXP3,0.009200267546112473,0.003401132216131155
13,STAT4,0.008345746932765708,0.012959735341606621
14,PAX5,0.00669482669157988,0.0017148668673519075
15,ELF1,0.006530512401528532,0.002487215111531928
16,BHLHE40,0.006398327573303919,0.011979821370698253
17,GCFC2,0.006339707232184977,0.005761942755479766
18,RARB,0.005488663282234985,0.0019049610181195264
19,BATF,0.00465751295314234,0.003424357483242907
20,TCF4,0.004653507007973512,0.003201951638069225
21,ZNF217,0.003893588961182526,0.003560522602843232
22,SP1,0.0034441336269602106,0.0014035716816860311
23,E2F1,0.003354016315190833,0.0015045878169652697
24,TCF12,0.0032133294078792616,0.0054571317022303585
25,MYB,0.0029766991557478306,0.0015861782446435037
26,IRF2,0.00261496793224385,0.006745519045202181
27,RCOR1,0.0025467969066591102,0.0007368195780890029
28,NBN,0.002195418548949379,0.003950779594234197
29,PBX3,0.002185120178607991,0.0011856180013964646
30,EZH2,0.002121995620977013,0.006765317770833594
31,MAX,0.0018146085156000246,0.0010694139659071205
32,YY1,0.0016957833614825724,0.000960264787034245
33,RARA,0.0016343312865232606,0.0007269078818089711
34,EP300,0.0014846116418307576,0.001441740889635983
35,SRF,0.001070069051124789,0.0012927380681491756
36,HNRNPLL,0.0008731003079253119,0.0017473660527192072
37,ETFA,0.0008685294367433372,0.001056593693875801
38,MEF2A,0.000867350778322229,0.0008582024444978535
39,NFKB1,0.0008203320532091274,0.0011468069264531004
40,CTBP2,0.0006873411732533974,0.0012620604167965293
41,HNF1A,0.0006298823667625575,0.0009873951438737591
42,CEBPB,0.0006259166098391943,0.0008760193101578266
43,USF2,0.0005472810026363462,0.0007979086830923503
44,ZEB1,0.00038762586096887654,0.0006090079520193018
45,IKZF1,0.00036647112345955524,0.0007240822717463432
46,VDR,0.0002869983897617834,0.0007279237135960173
47,IRF1,0.00028099013445477273,0.0023461246201745382
48,RELA,0.0002783260687372113,0.0012219234876229522
49,HOXD9,0.00026067292542399925,0.00023055280601719014
50,PGR,0.0002106926187172453,0.003098572316669302
51,MYC,0.00012723558006242364,0.00044936192264463556
52,ZNF207,0.00010792615910395486,0.0007071751189852815
53,NFATC2,9.268058957276893e-05,0.001247706432741184
54,EBF1,8.545066470744267e-06,1.7090132941488534e-05
55,RAD21,7.405442021934938e-06,0.00023901094363335717
56,HNF4A,0.0,0.0
57,SMAD1,0.0,0.0
58,STAT3,0.0,0.0
59,NR2F1,0.0,0.0
60,GATA2,0.0,0.0
61,SIN3A,0.0,0.0
62,ATF2,0.0,0.0
63,ARNT,0.0,0.0
64,PENK,0.0,0.0
65,LEF1,0.0,0.0
66,WT1,0.0,0.0
67,ETV4,0.0,0.0
68,CEBPA,0.0,0.0
69,SRY,0.0,0.0
70,NR3C1,0.0,0.0
71,HOXD10,0.0,0.0
72,RXRA,0.0,0.0
73,TAF13,0.0,0.0
74,RELB,0.0,0.0
75,MTA2,0.0,0.0
76,MTA1,-3.211174645696424e-05,0.00039561780764606793
77,EED,-0.00011105809119174025,0.0005411583677779078
78,ETV6,-0.00014835899548752972,0.000826475389970633
79,TAF1,-0.00014932830753844328,0.001883167010216656
80,NR2C1,-0.00017311781717799235,0.0002167008956862822
81,STAT5A,-0.0003228613586454543,0.00242880083880589
82,TP53,-0.00033543214399249787,0.0012993069269074567
83,NFATC1,-0.0003655987355396073,0.0011580442275123657
84,ATF3,-0.0003866736920387304,0.0005814962026863187
85,NFYB,-0.0005009109885800722,0.0009140483284405382
86,BCL11A,-0.0006694315159857967,0.001862514957256176
87,MXI1,-0.0006713026670032596,0.0034662072502441854
88,ELK1,-0.0007382375997825319,0.000374533790435909
89,EGR3,-0.0008342219392377225,0.0010140699538589242
90,JUNB,-0.0008458720409539211,0.0024590534336141967
91,GATA1,-0.0010479722386208313,0.0011033485976726862
92,ETFB,-0.0011031190933297407,0.002331678556914602
93,ZNF687,-0.0011644663921296372,0.0020753539227542413
94,FOXK2,-0.0011706719604868132,0.0013717020970865981
95,RUNX3,-0.0013546845245945738,0.0024250559321876016
96,BACH1,-0.0015547980370384407,0.001415092716813812
97,FOXA1,-0.0015590268169327181,0.002651118828071648
98,GATA3,-0.0016331661401512098,0.0021519276999013553
99,POU2F2,-0.0019364102905313541,0.003650458135057921
100,ESR1,-0.0027276254316014104,0.005624540903838745
101,JUND,-0.0029233894727687558,0.0015725361110903524
102,THRB,-0.003149210517363188,0.0008005161635357295
103,TBP,-0.0033111364324972747,0.003132981009371022
104,ETS1,-0.003448885392823664,0.002991039152302153
105,NFIC,-0.003659022835040204,0.0025430281097241535
106,AR,-0.004656196161752835,0.004439687049117726
107,KLF5,-0.004678606407931318,0.002018753327631073
108,TBX21,-0.009713770837750536,0.006337798041589353
